state,license_plate,year,model,make,color
CA,4QD I15,2011,,Suzuki,Black
CA,4QK 364,,Flex,Ford,Gray
CA,4RU 049,2012,,Audi,Lime
CA,4T 0026F,2011,,Acura,White
CA,4T 7N1FYK,,Colorado,Chevrolet,Fuchsia
CA,4UK0956,,DTS,Cadillac,Green
CA,4UL6174,2009,F-250 Super Duty,Ford,Green
CA,4VF K08,,,BMW,Aqua
CA,4W 2I0FJB,2002,,Chrysler,Olive
CA,4WMV648,,Sorento,Kia,Purple
CA,4WP 418,,Kizashi,Suzuki,Purple
CA,4WY97,,MAZDA6,Mazda,Maroon
CA,4X879,2003,Savana Cargo,GMC,Navy
CA,4Y 0916Z,,,Toyota,White
CA,4YO39,,Tundra,Toyota,Purple
CA,4Z 03743,2007,,Mazda,Black
CA,4ZI96,,Silverado 2500HD,Chevrolet,Aqua
CA,4ZN 934,,,Kia,Gray
CA,4ZW3765,2010,RL,Acura,Yellow
CA,5-1210S,2007,Entourage,Hyundai,Navy
CA,5-1285I,2007,,Scion,Black
CA,5-3418S,2011,Ridgeline,Honda,Navy
CA,5-40561O,,F-350 Super Duty,Ford,Silver
CA,5-41553O,,Sierra 2500HD Classic,GMC,Navy
CA,5-4357S,,,Scion,Yellow
CA,5-4390K,,Ridgeline,Honda,Yellow
CA,5-81377,2007,,Ford,Green
CA,5-93309,,,Ford,Gray
CA,5-E2842,2011,,Toyota,Lime
CA,5-E5006,,,Cadillac,White
CA,5-E7239,2005,Outlander,Mitsubishi,Green
CA,5-S6204,,Kizashi,Suzuki,Fuchsia
CA,5-X4133,,,Toyota,White
CA,50-1130Y,,,Mitsubishi,Gray
CA,50-8231G,,Monte Carlo,Chevrolet,Blue
CA,500-IQB,,Sierra 3500HD,GMC,Aqua
CA,501-590,2008,,Jeep,Purple
CA,503MI,2008,,Ford,Blue
CA,504 XTM,,Crown Victoria,Ford,White
CA,504-LAD,2010,,Volkswagen,Fuchsia
CA,505-ZZF,2008,,Chevrolet,Aqua
CA,506 6PN,,,Toyota,Green
CA,5064,,,Volkswagen,Yellow
CA,507 RSL,,Regal,Buick,Navy
CA,507 ZUL,2010,,Ford,Purple
CA,507-192,2008,,Chevrolet,Silver
CA,507-LCT,,F-150,Ford,Silver
CA,507-RJM,2009,,Nissan,Silver
CA,507-XEUP,,Grand Cherokee,Jeep,Blue
CA,507TD,,Routan,Volkswagen,Black
CA,508-ZCU,2012,F-150,Ford,Blue
CA,509 XWZ,2009,,Nissan,Black
CA,509-698,,,Nissan,Blue
CA,509-LSI,,,GMC,Olive
CA,50A 3785,2002,,Ford,Olive
CA,51-XH80,,F-150,Ford,Fuchsia
CA,51-Y154,,Dakota,Dodge,Blue
CA,510 WQC,,,GMC,Black
CA,513-PPZ,2012,,Audi,Lime
CA,514 BHJ,2005,,Mitsubishi,Purple
CA,516-CKAH,,,Chevrolet,Teal
CA,517 3SV,2011,,Honda,Olive
CA,517 IJE,,,Toyota,Lime
CA,5179 MF,,F-450 Super Duty,Ford,Gray
CA,519-GZA,,4Runner,Toyota,Teal
CA,519PY,,,Toyota,Lime
CA,51D 7968,,Spectra,Kia,Purple
CA,51J TY7,2012,Savana Cargo,GMC,Yellow
CA,52-6690F,2009,,Volkswagen,Navy
CA,521 VE7,2009,,Nissan,Purple
CA,521QMO,,,Nissan,Navy
CA,522-ZGQ,2010,,Acura,Green
CA,523 KTS,,XL-7,Suzuki,Fuchsia
CA,525WWE,2008,Grand Cherokee,Jeep,Yellow
CA,526 ORF,2006,,Ford,Fuchsia
CA,526-PTPW,2007,Prius,Toyota,Teal
CA,527-LZX,2010,Routan,Volkswagen,Aqua
CA,527N5,2005,Outlander,Mitsubishi,Purple
CA,52P•825,2006,,Dodge,Teal
CA,52ZB132,,,Acura,Aqua
CA,53-01936,2010,Tundra,Toyota,Lime
CA,53-5127V,,,Nissan,Maroon
CA,53-57600,2008,,Volkswagen,Lime
CA,530-438,2010,,Nissan,Aqua
CA,530-PYT,2012,Suburban,Chevrolet,Purple
CA,531 YOQ,2009,Silverado 2500HD,Chevrolet,Lime
CA,531-973,2006,Canyon,GMC,Yellow
CA,5352 PQ,2008,,Mercedes-Benz,White
CA,537 XMF,,,MINI,Blue
CA,538 YK8,,,Ram,Aqua
CA,539-UCK,2009,MAZDA6,Mazda,Gray
CA,53F•803,2011,Silverado 2500HD,Chevrolet,Silver
CA,53L 6585,,,BMW,Maroon
CA,53O 9865,2010,,Toyota,Yellow
CA,53Q V05,2011,3 Series,BMW,Teal
CA,53Z 848,2007,,Ford,Maroon
CA,54-61032,2013,Sorento,Kia,Blue
CA,54-HE62,,Prius,Toyota,Silver
CA,543 3017,,Range Rover Sport,Land Rover,Olive
CA,543-CZJ,,Yaris,Toyota,Fuchsia
CA,544 4PX,,,GMC,Aqua
CA,549 PFA,,S4,Audi,Yellow
CA,54Q•390,2012,Escalade,Cadillac,Fuchsia
CA,55-7760N,,Prius,Toyota,Teal
CA,55-F869,2010,,Volkswagen,Olive
CA,551 9DP,2010,Escape Hybrid,Ford,Lime
CA,551-CWE,,Impreza,Subaru,Green
CA,555 ACK,,XF,Jaguar,Blue
CA,555 XCG,2012,,GMC,Blue
CA,555-BIY,2006,,Land Rover,Silver
CA,557 YVQ,,,Toyota,Gray
CA,558 GRV,,,Ford,Purple
CA,559-XBM,2008,,Dodge,Gray
CA,55F 0844,,CR-V,Honda,Lime
CA,55HM131,2008,A4,Audi,Navy
CA,55O T04,1970,,Chevrolet,Maroon
CA,56-UI51,,,Toyota,Black
CA,560 EYZ,,,Dodge,White
CA,5629,2009,,Ford,Navy
CA,563-PGG,2013,,Cadillac,Maroon
CA,564-PEB,2009,,Chevrolet,Lime
CA,566-INE,,,Chevrolet,White
CA,566-IXV,2012,,Chevrolet,Purple
CA,569-KKM,,,GMC,Fuchsia
CA,57-2078L,,,Suzuki,Black
CA,570F8,,,Chevrolet,Yellow
CA,571-878,,Express,Chevrolet,Purple
CA,571RV,2006,Insight,Honda,Purple
CA,572 0HF,2007,,GMC,Gray
CA,577-FNY,2010,Terrain,GMC,Olive
CA,5770 DE,2007,,Scion,Navy
CA,578 SJX,,,Acura,Green
CA,578FNH,2009,,Honda,Aqua
CA,579-EVY,,,Chevrolet,Blue
CA,5796 JF,,,Ford,Fuchsia
CA,57K DQ4,,Cobalt,Chevrolet,White
CA,580 PIK,2008,,Dodge,White
CA,580-AMX,,RL,Acura,Blue
CA,582 6653,2011,TSX,Acura,Purple
CA,582 KIS,2010,,GMC,Teal
CA,582 LQL,2007,,Lexus,Lime
CA,582-USD,,,BMW,Yellow
CA,587 MHU,2006,Avalanche,Chevrolet,Maroon
CA,589LZ,,,BMW,Navy
CA,58G•925,,,MINI,Aqua
CA,58J PV8,,ATS,Cadillac,Gray
CA,58LK2,,Frontier,Nissan,Navy
CA,59-DZ85,,,Kia,Silver
CA,590 8271,,Rio,Kia,Teal
CA,590 QYH,2007,Freestar,Ford,White
CA,590928,2012,,Ford,Black
CA,591 GTU,,,Toyota,Yellow
CA,591-ETF,2010,,Ferrari,Fuchsia
CA,593-138,,911,Porsche,White
CA,593-799,2012,,Chevrolet,Olive
CA,595-WHR,2006,911,Porsche,Yellow
CA,5958,2003,,GMC,Black
CA,596 FRZ,,,Land Rover,Navy
CA,599 UMQ,,Sebring,Chrysler,Maroon
CA,599-LKS,,F-350 Super Duty,Ford,White
CA,59B 3989,,,Toyota,Gray
CA,59B•132,2007,RAV4,Toyota,Fuchsia
CA,59W 3059,2007,9-3,Saab,Fuchsia
CA,5AD E05,,A6,Audi,Silver
CA,5BBW 20,,,Chevrolet,Gray
CA,5C 2B5GYF,2009,,Lincoln,Teal
CA,5CF 589,,,Chevrolet,Black
CA,5CX4837,2006,Canyon,GMC,Teal
CA,5D E8505,,,Chevrolet,Lime
CA,5DQ 947,2008,Silverado 3500HD,Chevrolet,Olive
CA,5EP F02,2010,,Toyota,Teal
CA,5F E7240,,Passat,Volkswagen,Black
CA,5F259,,,Honda,Lime
CA,5FED536,,,Kia,Purple
CA,5FT50,,,Ford,Maroon
CA,5G LK417,2006,XL7,Suzuki,Purple
CA,5G P4694,2009,GS 350,Lexus,Green
CA,5HF G15,,,Toyota,Lime
CA,5HK04,2006,Ram Pickup 1500,Dodge,Yellow
CA,5HX 658,2007,Entourage,Hyundai,Teal
CA,5I152,,RX-8,Mazda,Maroon
CA,5JTI870,2011,Titan,Nissan,Olive
CA,5JYL693,,MAZDA6,Mazda,Purple
CA,5KAT 87,2008,,Suzuki,Blue
CA,5KT 613,,RL,Acura,Silver
CA,5KY6958,2012,Aventador,Lamborghini,Navy
CA,5L WW583,2010,Sierra 3500HD,GMC,Yellow
CA,5LQ 700,,,Chevrolet,Teal
CA,5MA 642,2012,,GMC,Teal
CA,5MD 042,1990,RAM 150,Dodge,Black
CA,5MR 216,,,Ford,Green
CA,5N L6349,,,Volkswagen,Silver
CA,5ND 884,2006,,Toyota,White
CA,5O 5947D,,,Honda,Purple
CA,5OB 149,,,Land Rover,Green
CA,5P M2889,2011,,BMW,Maroon
CA,5PF 168,,,Lexus,Gray
CA,5Q E8987,2006,Pathfinder,Nissan,Silver
CA,5Q772,,Silverado 3500HD,Chevrolet,Black
CA,5QE W39,1990,RAM 150,Dodge,Navy
CA,5QK 447,2009,,Honda,Gray
CA,5QT L67,2013,,Cadillac,Teal
CA,5RD1829,2012,Frontier,Nissan,Black
CA,5RH 632,2010,,Mitsubishi,Green
CA,5S 1Q2DHK,,3 Series,BMW,Lime
CA,5TE5989,2009,Civic,Honda,Silver
CA,5TU2486,2012,,GMC,Gray
CA,5U 5E6OHW,,,Chevrolet,Blue
CA,5UA5339,1976,,GMC,Black
CA,5ULI 47,,,Toyota,Gray
CA,5UYJ 36,2008,,Volkswagen,Green
CA,5V 18498,,F-150,Ford,Gray
CA,5WS L05,,,Toyota,Lime
CA,5X 0054L,,,Toyota,Purple
CA,5XQ 514,,,Volkswagen,White
CA,5XS 273,,,GMC,Yellow
CA,5Y 2V8ENJ,2005,,Kia,White
CA,5Y 6421D,2009,,Chevrolet,Lime
CA,5YG28,2010,,Chevrolet,Blue
CA,6-0248I,,Tucson,Hyundai,Navy
CA,6-19817,,Corvette,Chevrolet,Gray
CA,6-2148Q,2003,,GMC,Yellow
CA,6-3548S,2012,Frontier,Nissan,Black
CA,6-42218,2010,ZDX,Acura,Navy
CA,6-48293I,2009,,Ford,Green
CA,6-5412W,2006,,Dodge,Gray
CA,6-55998Y,2009,MAZDA6,Mazda,Blue
CA,6-63089,2005,,Mitsubishi,Gray
CA,6-63097Q,,Golf,Volkswagen,Olive
CA,6-66145P,2007,,Ford,Lime
CA,6-76184,2007,,Hyundai,Blue
CA,6-86622,,M6,BMW,Gray
CA,6-C5330,2008,,Chevrolet,Green
CA,6-D2106,,Savana Cargo,GMC,Fuchsia
CA,6-F6927,2007,,Scion,Gray
CA,6-H1269,2009,,Honda,Lime
CA,600 FQD,2012,,GMC,Black
CA,600MC,,,Acura,Aqua
CA,601 UJG,2012,,GMC,Lime
CA,601-510,2009,Silverado 2500HD,Chevrolet,Green
CA,601-TNR,2012,,Subaru,Maroon
CA,6038,,,Ford,White
CA,604848,1995,,GMC,Navy
CA,606-XKN,,Yukon,GMC,Navy
CA,606798,2004,,Chevrolet,Silver
CA,608 CW7,,,Mazda,Blue
CA,608 OH0,2011,Flex,Ford,White
CA,60C V98,,,Chevrolet,White
CA,60E OM3,,Tundra,Toyota,White
CA,60N V71,,3 Series,BMW,Black
CA,60V W99,2011,Grand Vitara,Suzuki,Green
CA,60X 367,,CLK-Class,Mercedes-Benz,Gray
CA,61-28857,,,Mazda,Fuchsia
CA,61-72088,2010,,Kia,Gray
CA,61-O590,,Avalanche,Chevrolet,Olive
CA,610-EQP,2010,,Volkswagen,White
CA,613G,2008,,Volkswagen,Yellow
CA,614-QDJI,,,Ford,Teal
CA,615-GSY,2012,Tundra,Toyota,Silver
CA,618-QYQ,,A4,Audi,Blue
CA,619 6BO,,,Nissan,Teal
CA,61Z•627,2010,Passat,Volkswagen,Aqua
CA,62-4199T,,,Nissan,Black
CA,623 POP,,,Volkswagen,Gray
CA,626-LFU,2005,,Suzuki,Aqua
CA,626316,,,Lexus,Yellow
CA,627 NKV,2012,,Buick,Blue
CA,629-PUD,,,Ford,Fuchsia
CA,62G XK4,,,Volkswagen,Maroon
CA,62J 891,2007,Silverado 3500 Classic,Chevrolet,Teal
CA,62M•169,2009,,Honda,Maroon
CA,62N•385,2009,,MINI,Blue
CA,62RA9,2012,,Kia,Blue
CA,63-B651,2009,Silverado 2500HD,Chevrolet,Fuchsia
CA,63-BI68,2009,,Ford,Navy
CA,63-F300,,Sierra 1500,GMC,Blue
CA,632 NAO,2012,,Volkswagen,Silver
CA,632A,2013,,Cadillac,Black
CA,637 1LK,2012,,Ford,Black
CA,6389 KG,,Impreza,Subaru,Purple
CA,63K VV6,2009,,Chevrolet,Gray
CA,63MD5,,,Chevrolet,Blue
CA,63S•926,,,Kia,Black
CA,63U 109,2007,,Ford,Olive
CA,64-6748W,2008,,Chevrolet,Aqua
CA,64-TN54,2008,Commander,Jeep,Gray
CA,64-XA61,,Silverado 2500HD,Chevrolet,Yellow
CA,641-GQN,,,Mazda,Lime
CA,642-DIA,2008,,Ford,Lime
CA,643 JKS,,Excursion,Ford,Fuchsia
CA,643-914,,Accord,Honda,Lime
CA,6468 XU,,,Mazda,Black
CA,647 BP9,2000,,GMC,Green
CA,648-GLU,,RAM 150,Dodge,Navy
CA,65-UE96,,Titan,Nissan,Gray
CA,650 8PX,2011,,Toyota,White
CA,655 ONK,,SRX,Cadillac,Gray
CA,656 RUT,2002,Explorer,Ford,White
CA,657 WHS,,Mariner,Mercury,Maroon
CA,658 VJQ,2010,Explorer,Ford,Aqua
CA,658-QIQI,,MAZDA6,Mazda,Teal
CA,659 ZBR,2010,Rio,Kia,Blue
CA,659LFL,2008,Express Cargo,Chevrolet,Green
CA,65A 5808,,RL,Acura,Lime
CA,65S JB1,2008,,Buick,Purple
CA,66-40627,2007,,Subaru,Navy
CA,661858,2006,,Nissan,Maroon
CA,662Y1,2010,,Lexus,Green
CA,663 BJF,2011,,Cadillac,Gray
CA,663 KFC,2007,,Nissan,Lime
CA,663-EDF,2006,Five Hundred,Ford,Lime
CA,664RI,2010,,Kia,Teal
CA,665-KGI,,Excursion,Ford,Aqua
CA,666 FSW,,Routan,Volkswagen,Black
CA,666-YCSQ,,DBS,Aston Martin,Navy
CA,667 WLA,2007,911,Porsche,White
CA,668ELZ,2011,CTS Coupe,Cadillac,Silver
CA,668LHV,,Soul,Kia,Fuchsia
CA,66Z•367,2008,F-350 Super Duty,Ford,Navy
CA,67-N061,,,Chevrolet,White
CA,6702 MF,,Accord,Honda,Gray
CA,672 1OL,2007,Sierra 2500HD Classic,GMC,Green
CA,674-CMQ,2007,Sierra 3500HD,GMC,Black
CA,675 MGM,2012,,Toyota,Gray
CA,675-XPK,,Mountaineer,Mercury,Gray
CA,678ZJG,,,GMC,Maroon
CA,679 YBI,2007,,Nissan,Maroon
CA,679-EPO,2009,Rabbit,Volkswagen,Silver
CA,67I P99,2008,Mariner,Mercury,Olive
CA,68-36120,,,Toyota,Fuchsia
CA,68-43177,1999,F-150,Ford,Maroon
CA,680439,,Sierra 2500HD,GMC,Blue
CA,682 REZ,2010,,Toyota,Blue
CA,688 BJR,1996,Express,Chevrolet,Navy
CA,689F,,Expedition,Ford,Yellow
CA,68N 508,2007,,Saab,Green
CA,68YU6,2008,,Mercury,Purple
CA,69-K326,2008,Titan,Nissan,Navy
CA,690NI,2007,,Scion,Lime
CA,691N9,2009,,Honda,Yellow
CA,691Y,2008,Ridgeline,Honda,Gray
CA,693 9606,,,Ford,Maroon
CA,693 JMG,,Expedition,Ford,Maroon
CA,693V,,,Dodge,Black
CA,695-VNVI,2001,S-10,Chevrolet,Maroon
CA,695EFG,2011,,Toyota,Aqua
CA,696WAX,,Five Hundred,Ford,Lime
CA,697 UDI,2008,,Chevrolet,Purple
CA,698-LSI,2008,Econoline Wagon,Ford,Silver
CA,6A 4J5CKG,,,Ford,Fuchsia
CA,6A XF123,,,Ford,Maroon
CA,6BE 603,2012,,Nissan,Green
CA,6BI 786,2012,Flex,Ford,Yellow
CA,6C 5D1HDP,,,Honda,Maroon
CA,6C122,1986,,Buick,Olive
CA,6DQ 314,2005,,Mitsubishi,Gray
CA,6DU 245,,,Toyota,Aqua
CA,6E 7599P,,RL,Acura,Purple
CA,6E YR786,,,Dodge,Fuchsia
CA,6EL T62,,CR-V,Honda,Maroon
CA,6EX02,2010,RL,Acura,Yellow
CA,6F 5F2LJF,2008,,Nissan,Green
CA,6F B6879,,F-250 Super Duty,Ford,Fuchsia
CA,6FU H88,2008,,Mercury,Fuchsia
CA,6FW4538,2009,DBS,Aston Martin,Black
CA,6GD4718,,Yukon,GMC,Lime
CA,6GU B19,,,Nissan,Navy
CA,6H226,,X5,BMW,Blue
CA,6HD H88,2010,,GMC,Black
CA,6I PJ287,,,Chevrolet,Teal
CA,6IJ0673,,Highlander,Toyota,Maroon
CA,6JF 084,2010,Rio,Kia,Yellow
CA,6K 2P9QDW,,Tucson,Hyundai,Purple
CA,6KS 394,,Durango,Dodge,Olive
CA,6KW G73,2008,,Ford,Blue
CA,6L486,2009,,Subaru,Green
CA,6M 68541,,,Nissan,Aqua
CA,6O597,2008,GTI,Volkswagen,Purple
CA,6OK4618,,TSX,Acura,Teal
CA,6P IB051,2008,Titan,Nissan,Fuchsia
CA,6P NI149,,,Volkswagen,Gray
CA,6Q 3686R,2010,,Nissan,Aqua
CA,6Q 37549,,,Volkswagen,Blue
CA,6Q 4J4OGP,,,Kia,Fuchsia
CA,6QG D57,2009,Colorado,Chevrolet,Olive
CA,6RQ 820,,,Ford,Navy
CA,6RW 307,,Dakota,Dodge,Lime
CA,6S 6U2JQI,2007,,Ford,Olive
CA,6SW F70,2009,,Ford,Green
CA,6U 26661,,M6,BMW,Black
CA,6U Y2072,,F-150,Ford,Gray
CA,6VW8638,,,Chevrolet,Maroon
CA,6W KV960,2009,Element,Honda,Silver
CA,6WW17,2006,Canyon,GMC,Purple
CA,6Y 0497S,,Commander,Jeep,Blue
CA,6YW 652,,Optima,Kia,Olive
CA,6Z 3600J,2011,,BMW,White
CA,6ZS52,2008,Camry Solara,Toyota,Yellow
CA,7-42891K,1998,Dakota,Dodge,Blue
CA,7-7102W,,F-250 Super Duty,Ford,Silver
CA,7-73912C,,,Subaru,Olive
CA,7-81774H,2010,Explorer,Ford,Silver
CA,7-93634,,Element,Honda,Blue
CA,7-L4455,,Sierra 3500HD,GMC,White
CA,7-O3328,,Relay,Saturn,Blue
CA,70-2599P,,,Nissan,Lime
CA,702-AJV,2006,Pathfinder,Nissan,Silver
CA,702-IAZ,2002,,Chrysler,Purple
CA,703CEV,,,Nissan,Aqua
CA,706-COA,2006,Envoy XL,GMC,Olive
CA,707 AXF,2010,,Nissan,Aqua
CA,707-HLO,,Sonoma,GMC,Aqua
CA,707152,2009,Optima,Kia,Silver
CA,708-CKR,,XL-7,Suzuki,Green
CA,709 8DF,,ZDX,Acura,Black
CA,709 GW1,,,Chevrolet,Maroon
CA,709-MVC,,,Mazda,Lime
CA,709-YCB,2008,S4,Audi,Silver
CA,709-YDY,,,Porsche,Green
CA,70C 242,,,Cadillac,Gray
CA,70H 951,2009,DTS,Cadillac,Maroon
CA,70U Y71,,,Chevrolet,Fuchsia
CA,70X P30,2007,,Subaru,Silver
CA,71-0770P,,Savana Cargo,GMC,Navy
CA,710 YGP,,,Chevrolet,Yellow
CA,710-XIH,2008,TrailBlazer,Chevrolet,Olive
CA,712 GGC,,Charger,Dodge,Yellow
CA,714 UFY,,Dakota,Ram,Teal
CA,714 VVW,,Navigator,Lincoln,Green
CA,714 ZYM,2008,,Ford,Black
CA,714Y7,2012,,Chevrolet,Yellow
CA,715 FI4,,,Audi,Lime
CA,717-YEW,2012,,Audi,Maroon
CA,718-298,,Titan,Nissan,Olive
CA,719 HSF,,,Nissan,Olive
CA,71L H81,2009,Colorado,Chevrolet,Blue
CA,71R AH8,,,Ford,Silver
CA,71Z N13,2008,,Nissan,Green
CA,72-E544,2009,,Cadillac,Gray
CA,72-O661,2009,,MINI,Olive
CA,721F,2004,Titan,Nissan,White
CA,721R,,Cooper Clubman,MINI,Yellow
CA,722S,2010,,Lexus,Teal
CA,723499,,,Volkswagen,Fuchsia
CA,724 FI3,,,GMC,Aqua
CA,724XHF,,1500,Ram,Lime
CA,725 4JQ,2010,,Ferrari,Silver
CA,725 WKR,,,Ford,Teal
CA,726 2232,2006,,GMC,Lime
CA,726 2HS,,599,Ferrari,White
CA,729 OOM,2007,Silverado 3500HD,Chevrolet,Olive
CA,73-54039,1976,,GMC,Olive
CA,73-A193,2009,,Chevrolet,Yellow
CA,730 IWM,2011,Sequoia,Toyota,White
CA,730 QPY,,,Kia,Navy
CA,734 GLG,2012,,Porsche,Aqua
CA,734 QYW,2007,Colorado,Chevrolet,Navy
CA,739P,,Civic,Honda,Maroon
CA,73K 1881,,Spectra,Kia,Purple
CA,73W T69,2007,Charger,Dodge,Aqua
CA,74-7054O,2010,Passat,Volkswagen,Olive
CA,74-J397,2007,tC,Scion,Blue
CA,74-U841,,,GMC,Gray
CA,74-U963,,,Ford,Olive
CA,740 TVD,2012,,GMC,Gray
CA,740-OEW,,Accord,Honda,Olive
CA,741 1KL,,Sierra 3500HD,GMC,Maroon
CA,743 BTU,2012,,Chevrolet,Fuchsia
CA,744 8616,2007,,Hyundai,Blue
CA,744 DPV,,,Nissan,Lime
CA,744 SUC,,Civic,Honda,Teal
CA,744-PMM,2009,,Honda,Green
CA,749-DTQ,,,Toyota,Olive
CA,749-RJL,,,Ford,Aqua
CA,74BT162,,GS 350,Lexus,Gray
CA,74D 980,,Focus,Ford,White
CA,74F 4966,,Sebring,Chrysler,Fuchsia
CA,74RR680,2012,,Chevrolet,Gray
CA,74S S80,,Tucson,Hyundai,Purple
CA,75-D025,,Silverado 3500HD,Chevrolet,Green
CA,750 GIT,2008,F-450 Super Duty,Ford,Purple
CA,751 RKK,2009,,Honda,Purple
CA,751-563,,,Ford,Silver
CA,752 EG7,2011,Silverado 2500HD,Chevrolet,Black
CA,752 INM,2006,911,Porsche,Navy
CA,752H4,2007,Sierra 3500HD,GMC,Fuchsia
CA,752R,2007,,Dodge,Lime
CA,753-KYF,,,Ford,Teal
CA,754-ICP,2007,Sierra 3500HD,GMC,Gray
CA,754L0,2011,,Honda,Navy
CA,755 3NH,,,Toyota,Black
CA,756 HQ4,,Highlander,Toyota,Olive
CA,758-NQQ,2007,Highlander,Toyota,Aqua
CA,759 ACO,2007,Frontier,Nissan,Teal
CA,75UG507,2007,,Chevrolet,Olive
CA,760-BYT,,Silverado 2500HD,Chevrolet,Navy
CA,760379,2004,,Nissan,Purple
CA,762-QMTT,,,Jeep,Black
CA,7628 LY,,,Toyota,Teal
CA,765 HAO,,Tacoma,Toyota,Maroon
CA,765 HDS,,Frontier,Nissan,Silver
CA,765 IUJ,2008,,Chevrolet,Fuchsia
CA,767 VRH,,Sebring,Chrysler,Silver
CA,767-805,,Silverado 3500HD,Chevrolet,White
CA,768CA,2008,Mariner,Mercury,Teal
CA,76DB0,,,Chevrolet,Green
CA,76L K23,,Silverado 2500HD,Chevrolet,Green
CA,76X 6508,,911,Porsche,Maroon
CA,76Z 6344,,,Chevrolet,Blue
CA,771 QZH,2007,,Mazda,Blue
CA,774-QKJ,2010,Accord,Honda,Black
CA,775 QEU,,911,Porsche,Gray
CA,776 8QE,,Eclipse,Mitsubishi,Yellow
CA,776REZ,,,Honda,Purple
CA,779 HPG,,,Honda,Purple
CA,77C Q46,,Express,Chevrolet,Teal
CA,77GS300,,Sonoma,GMC,Silver
CA,78-3102T,2010,Corolla,Toyota,Lime
CA,78-3829F,,Highlander,Toyota,Lime
CA,78-75865,,Colorado,Chevrolet,Silver
CA,78-U424,,Express,Chevrolet,Aqua
CA,781 XSC,2009,,Subaru,Fuchsia
CA,783 8EK,,,Ford,Purple
CA,784-WRT,,MAZDA6,Mazda,Teal
CA,787 EIV,2007,Sierra 2500HD Classic,GMC,Blue
CA,788 JSH,,,Volkswagen,Silver
CA,788 TOK,,XL7,Suzuki,Purple
CA,789 6RL,,,Chevrolet,Gray
CA,78T I83,2012,,Nissan,Aqua
CA,79-0033J,,F-150,Ford,Aqua
CA,790-TQD,,,Ford,Silver
CA,7901 CM,2005,,Kia,Blue
CA,792 BZ8,2009,F-250 Super Duty,Ford,Silver
CA,792 GAA,2006,ION,Saturn,Maroon
CA,793-UBN,2010,,Acura,Teal
CA,794 PHS,,,Ferrari,Teal
CA,794-GQOY,2012,Golf,Volkswagen,Teal
CA,795 IIG,,,Oldsmobile,Purple
CA,797-MVNS,,,Toyota,Gray
CA,798-683,,,GMC,White
CA,79C 091,,Forester,Subaru,Aqua
CA,79F E73,2011,,Toyota,Teal
CA,79U 1559,1999,Caravan,Dodge,White
CA,7A334,2012,,Cadillac,Yellow
CA,7AL9434,,Ridgeline,Honda,Gray
CA,7BE G01,2008,CLK-Class,Mercedes-Benz,Yellow
CA,7BG59,,,Lexus,Fuchsia
CA,7BI0815,1990,,Mercedes-Benz,Navy
CA,7D 89460,,,Toyota,Maroon
CA,7E 86223,2006,,Toyota,Blue
CA,7EC 896,,,Chevrolet,Maroon
CA,7EKD463,,,Nissan,Purple
CA,7EL1224,2011,,Jaguar,Olive
CA,7EM N21,,,Honda,Fuchsia
CA,7ET8944,2010,,Honda,Teal
CA,7FB71,,,Chevrolet,Green
CA,7FU1479,2009,Optima,Kia,Green
CA,7G QL881,2007,Frontier,Nissan,Silver
CA,7GK 890,,Rabbit,Volkswagen,Olive
CA,7HU9439,,370Z,Nissan,Olive
CA,7HZK547,,,Nissan,Gray
CA,7IU2138,2012,,BMW,Navy
CA,7J G2061,2010,,Toyota,Purple
CA,7JL37,2012,Equator,Suzuki,Silver
CA,7K 6814I,2010,,Mitsubishi,Fuchsia
CA,7K C5412,,DTS,Cadillac,Lime
CA,7K Z6831,,Outlander,Mitsubishi,Purple
CA,7KU97,2007,RX 350,Lexus,Yellow
CA,7KX3179,2008,CLK-Class,Mercedes-Benz,Purple
CA,7LH I08,2011,,Acura,Silver
CA,7MY 350,,,Mazda,White
CA,7N 4065W,,Spectra,Kia,Fuchsia
CA,7O 37410,,XL-7,Suzuki,Teal
CA,7PB G33,,Sedona,Kia,Gray
CA,7PL 765,2007,XL-7,Suzuki,Teal
CA,7PMO 85,,Silverado 1500,Chevrolet,Gray
CA,7Q970,,,Chevrolet,Maroon
CA,7QTL 21,1999,,Ford,Olive
CA,7RCV010,,,Kia,Navy
CA,7RP2232,,4Runner,Toyota,Teal
CA,7S M1423,,,Mazda,White
CA,7T X1509,2012,,Buick,Aqua
CA,7T434,,F-250 Super Duty,Ford,Navy
CA,7TV 749,1996,Monte Carlo,Chevrolet,Teal
CA,7TW Y73,2001,Durango,Dodge,Lime
CA,7U 4K3ZIN,,Town and Country,Chrysler,Black
CA,7U897,,,Chevrolet,Teal
CA,7UC56,,,Mazda,Gray
CA,7UDM 68,2010,Rio,Kia,Green
CA,7V W2799,2010,Tundra,Toyota,White
CA,7VH9031,,CLK-Class,Mercedes-Benz,Silver
CA,7VUG 46,2002,,Ford,Fuchsia
CA,7W773,,,Chevrolet,Green
CA,7WQ5707,2006,Pathfinder,Nissan,Silver
CA,7XB38,2012,,Chevrolet,Yellow
CA,7Y658,2007,Charger,Dodge,Aqua
CA,7YE8969,,,Kia,Yellow
CA,7YJ6588,2007,,Porsche,Maroon
CA,7YK A62,,,Jeep,Green
CA,7YP0476,2007,Accord,Honda,Maroon
